Category,Name,Heterogeneous,Many_Small,Few_Big,Avg_Avg,Ratio_Many_Small,Ratio_Few_Big,Ratio_Avg_Avg

10_children,size_10000/random_tree_1,8793.493491,17014.11556,0,8793.493491,0.5168351807644593,not_computed,1.0
10_children,size_10000/random_tree_2,7461.146289,13097.950388,0,7461.146289,0.5696422774540135,not_computed,1.0
10_children,size_10000/random_tree_3,4482.258197,-1.0,0,4300.420648,not_computed,not_computed,1.0422836656885106
10_children,size_15000/random_tree_1,11289.494522,20124.664826,0,11289.494522,0.560978014769944,not_computed,1.0
10_children,size_15000/random_tree_2,7438.750147,-1.0,0,7693.338711,not_computed,not_computed,0.9669079220916157
10_children,size_15000/random_tree_3,11450.617182,-1.0,0,11181.305883,not_computed,not_computed,1.0240858538186903
10_children,size_20000/random_tree_1,7711.891047,-1.0,0,7602.978091,not_computed,not_computed,1.014325038780386
10_children,size_20000/random_tree_2,11984.444062,-1.0,0,12420.440745,not_computed,not_computed,0.9648968428776962
10_children,size_20000/random_tree_3,6717.027861,-1.0,0,7617.419498,not_computed,not_computed,0.8817983390259124
10_children,size_25000/random_tree_1,9719.507222,-1.0,0,10154.858162,not_computed,not_computed,0.9571288015002409
10_children,size_25000/random_tree_2,9080.219832,-1.0,0,8054.936338,not_computed,not_computed,1.1272863559657347
10_children,size_25000/random_tree_3,16291.847868,-1.0,0,14485.480384,not_computed,not_computed,1.1247019385007921
10_children,size_5000/random_tree_1,7178.899456,21717.088422,0,7178.899456,0.3305645451407556,not_computed,1.0
10_children,size_5000/random_tree_2,5013.587893,8948.647571,0,5013.587893,0.5602620790707638,not_computed,1.0
10_children,size_5000/random_tree_3,7190.51963,27050.656895,0,7190.51963,0.26581682130348133,not_computed,1.0
all_large,size_10000/random_tree_1,130016.094875,135219.389233,0,121417.615649,0.9615196135146412,not_computed,1.0708173948239676
all_large,size_10000/random_tree_10,233755.086366,233755.086366,0,214017.086366,1.0,not_computed,1.0922262812523538
all_large,size_10000/random_tree_2,249096.174983,290113.51486,0,263088.738126,0.8586162388994745,not_computed,0.9468142831096837
all_large,size_10000/random_tree_3,239181.1767,249960.356917,0,205314.91498,0.956876440928674,not_computed,1.1649478885803253
all_large,size_10000/random_tree_4,205739.464424,247132.018125,0,222952.544397,0.8325083329345713,not_computed,0.9227948709015424
all_large,size_10000/random_tree_5,177198.742403,203841.62701,0,174991.772242,0.8692961540888164,not_computed,1.0126118510186177
all_large,size_10000/random_tree_6,191976.73956,191761.176817,0,200485.879596,1.001124120880869,not_computed,0.9575574097629876
all_large,size_10000/random_tree_7,241764.418798,271229.954851,0,231122.536769,0.8913632674931246,not_computed,1.0460443285962902
all_large,size_10000/random_tree_8,236811.476373,236811.476373,0,213987.602006,1.0,not_computed,1.1066597978249229
all_large,size_10000/random_tree_9,225105.730084,284244.384327,0,264568.778903,0.7919443355652515,not_computed,0.8508401143074085
all_large,size_2000/random_tree_1,109398.918629,157908.918629,0,109398.918629,0.6927975923008372,not_computed,1.0
all_large,size_2000/random_tree_10,74746.340503,74746.340503,0,80815.629122,1.0,not_computed,0.9248995685000763
all_large,size_2000/random_tree_2,81368.476813,81368.476813,0,87683.728201,1.0,not_computed,0.9279769289288958
all_large,size_2000/random_tree_3,97943.068849,97943.068849,0,100990.52466,1.0,not_computed,0.9698243392510365
all_large,size_2000/random_tree_4,105088.893685,190150.163048,0,105088.893685,0.552662653560135,not_computed,1.0
all_large,size_2000/random_tree_5,66497.406272,66497.406272,0,63185.506816,1.0,not_computed,1.0524154924584912
all_large,size_2000/random_tree_6,104816.040493,165119.704861,0,104816.040493,0.6347882015731288,not_computed,1.0
all_large,size_2000/random_tree_7,104111.139211,178466.713112,0,104111.139211,0.5833644683401726,not_computed,1.0
all_large,size_2000/random_tree_8,78018.928907,78018.928907,0,80634.67835,1.0,not_computed,0.9675604901448707
all_large,size_2000/random_tree_9,101127.002025,175627.742717,0,101127.002025,0.575803118918133,not_computed,1.0
all_large,size_20000/random_tree_1,262434.186454,320786.270258,0,321385.374133,0.8180966917409871,not_computed,0.816571653772259
all_large,size_20000/random_tree_2,330529.746614,432524.124685,0,335047.573335,0.7641880018940429,not_computed,0.9865158649679793
all_large,size_20000/random_tree_3,406703.666513,463681.416396,0,432534.865268,0.877118754670256,not_computed,0.9402794992283572
all_large,size_20000/random_tree_4,300484.33787,300484.33787,0,328763.76722,1.0,not_computed,0.9139825243239893
all_large,size_20000/random_tree_5,356023.006797,359463.150154,0,360640.818363,0.9904297746360756,not_computed,0.9871955382450581
all_large,size_30000/random_tree_1,486029.357715,486029.357715,0,589512.837689,1.0,not_computed,0.824459327502223
all_large,size_30000/random_tree_2,430958.575992,320391.709849,0,529714.135151,1.3450990233021634,not_computed,0.8135682010244095
all_large,size_30000/random_tree_3,587553.273452,503051.343723,0,547381.938498,1.1679787377240962,not_computed,1.073388126514055
all_large,size_30000/random_tree_4,451780.869639,361194.484744,0,470944.366996,1.2507967001744336,not_computed,0.9593083627281972
all_large,size_30000/random_tree_5,448045.098288,407307.95396,0,413562.483818,1.1000155875473048,not_computed,1.0833794549052351
all_large,size_4000/random_tree_1,160240.370975,234422.22359,0,168383.641165,0.6835545219264593,not_computed,0.9516385906988413
all_large,size_4000/random_tree_10,147588.31709,183808.582605,0,139653.775809,0.8029457329920419,not_computed,1.056815802043561
all_large,size_4000/random_tree_2,121189.639398,126120.03644,0,101586.788685,0.9609071073782509,not_computed,1.1929665359713697
all_large,size_4000/random_tree_3,129150.741873,129150.741873,0,136798.495206,1.0,not_computed,0.9440947554175687
all_large,size_4000/random_tree_4,111509.453501,130128.52958,0,107559.054558,0.8569178016604466,not_computed,1.0367277209643915
all_large,size_4000/random_tree_5,97707.089879,109451.692315,0,99031.266347,0.8926960178724397,not_computed,0.9866287030667653
all_large,size_4000/random_tree_6,147107.993272,221347.539008,0,152746.159288,0.664601892260854,not_computed,0.9630880014117452
all_large,size_4000/random_tree_7,112698.77547,112698.77547,0,129284.625242,1.0,not_computed,0.8717105785707004
all_large,size_4000/random_tree_8,154785.386065,175545.201144,0,163949.236202,0.8817409137719995,not_computed,0.9441055637141894
all_large,size_4000/random_tree_9,115721.592946,145370.003146,0,125519.199614,0.7960486375567929,not_computed,0.921943362464628
all_large,size_50000/random_tree_1,922398.276117,829405.572168,0,999815.941636,1.1121197000231438,not_computed,0.9225680824889416
all_large,size_50000/random_tree_2,876239.161268,785788.924915,0,876239.161268,1.1151075479497043,not_computed,1.0
all_large,size_50000/random_tree_3,693542.269666,792485.777631,0,707227.271741,0.8751479070567366,not_computed,0.9806497817295545
all_large,size_50000/random_tree_4,750535.098055,712157.494796,0,789179.70574,1.0538892078500044,not_computed,0.9510319292248351
all_large,size_50000/random_tree_5,873939.760286,652205.597117,0,899815.151273,1.3399758667345856,not_computed,0.9712436593778253
large_makespan_weights,size_10000/random_tree_1,33332.999684,61581.924282,0,33332.999684,0.5412789560027279,not_computed,1.0
large_makespan_weights,size_10000/random_tree_10,51015.191898,141775.674872,0,51015.191898,0.35983035837465266,not_computed,1.0
large_makespan_weights,size_10000/random_tree_2,52404.826281,147496.668554,0,52404.826281,0.35529498255626074,not_computed,1.0
large_makespan_weights,size_10000/random_tree_3,47216.256699,134401.925093,0,47216.256699,0.3513064017969125,not_computed,1.0
large_makespan_weights,size_10000/random_tree_4,21401.721654,55415.966557,0,21401.721654,0.3862013600716776,not_computed,1.0
large_makespan_weights,size_10000/random_tree_5,19841.858736,46926.028886,0,19841.858736,0.4228326838438199,not_computed,1.0
large_makespan_weights,size_10000/random_tree_6,15742.423375,24753.55178,0,15742.423375,0.6359662449620391,not_computed,1.0
large_makespan_weights,size_10000/random_tree_7,48322.883854,133201.058229,0,48322.883854,0.36278153114161477,not_computed,1.0
large_makespan_weights,size_10000/random_tree_8,43560.3179,122043.267259,0,43560.3179,0.35692520266239985,not_computed,1.0
large_makespan_weights,size_10000/random_tree_9,49949.063116,92386.570821,0,49949.063116,0.5406528532461374,not_computed,1.0
large_makespan_weights,size_2000/random_tree_1,33211.271928,130587.085104,0,33211.271928,0.2543227908146539,not_computed,1.0
large_makespan_weights,size_2000/random_tree_10,15520.711752,30298.760146,0,15520.711752,0.5122556724173092,not_computed,1.0
large_makespan_weights,size_2000/random_tree_2,31165.197722,92741.197722,0,31165.197722,0.33604480519456364,not_computed,1.0
large_makespan_weights,size_2000/random_tree_3,45343.357622,137368.535135,0,45343.357622,0.33008547101007124,not_computed,1.0
large_makespan_weights,size_2000/random_tree_4,26909.628824,54190.138821,0,26909.628824,0.49657796435782264,not_computed,1.0
large_makespan_weights,size_2000/random_tree_5,33141.060449,126856.863108,0,33141.060449,0.26124767424514705,not_computed,1.0
large_makespan_weights,size_2000/random_tree_6,34092.952041,67008.331746,0,34092.952041,0.508786760581234,not_computed,1.0
large_makespan_weights,size_2000/random_tree_7,46978.566464,186613.587131,0,46978.566464,0.2517424759164065,not_computed,1.0
large_makespan_weights,size_2000/random_tree_8,27297.722652,104962.251858,0,27297.722652,0.26007180837669336,not_computed,1.0
large_makespan_weights,size_2000/random_tree_9,32401.321527,63540.88473,0,32401.321527,0.5099287122721182,not_computed,1.0
large_makespan_weights,size_20000/random_tree_1,45616.49406,79985.237582,0,45616.49406,0.5703114154438119,not_computed,1.0
large_makespan_weights,size_20000/random_tree_2,50651.718847,124604.884315,0,50651.718847,0.4064986627566935,not_computed,1.0
large_makespan_weights,size_20000/random_tree_3,22105.661348,36518.000858,0,22105.661348,0.605336021376354,not_computed,1.0
large_makespan_weights,size_20000/random_tree_4,36957.226963,62924.21615,0,36957.226963,0.5873291591730062,not_computed,1.0
large_makespan_weights,size_20000/random_tree_5,24421.283284,39248.231872,0,24421.283284,0.6222263301859042,not_computed,1.0
large_makespan_weights,size_30000/random_tree_1,59459.215234,138534.17104,0,59459.215234,0.42920251940463056,not_computed,1.0
large_makespan_weights,size_30000/random_tree_2,63699.212632,162225.35243,0,63699.212632,0.3926588025720956,not_computed,1.0
large_makespan_weights,size_30000/random_tree_3,39573.806589,65408.806589,0,39573.806589,0.6050226055592833,not_computed,1.0
large_makespan_weights,size_30000/random_tree_4,29095.792088,43706.220415,0,29095.792088,0.6657128393104955,not_computed,1.0
large_makespan_weights,size_30000/random_tree_5,42102.083078,69117.211233,0,42102.083078,0.6091403621027229,not_computed,1.0
large_makespan_weights,size_4000/random_tree_1,21109.826776,40160.826776,0,21109.826776,0.5256322757930665,not_computed,1.0
large_makespan_weights,size_4000/random_tree_10,42927.987822,166213.544185,0,42927.987822,0.2582700948499121,not_computed,1.0
large_makespan_weights,size_4000/random_tree_2,44617.859956,130753.793163,0,44617.859956,0.34123568331496573,not_computed,1.0
large_makespan_weights,size_4000/random_tree_3,43577.82884,128166.687818,0,43577.82884,0.34000901156064545,not_computed,1.0
large_makespan_weights,size_4000/random_tree_4,36459.937301,138768.46388,0,36459.937301,0.26273935937295323,not_computed,1.0
large_makespan_weights,size_4000/random_tree_5,31290.648993,60249.812197,0,31290.648993,0.5193484900946802,not_computed,1.0
large_makespan_weights,size_4000/random_tree_6,36805.573232,142489.183639,0,36805.573232,0.2583043308413351,not_computed,1.0
large_makespan_weights,size_4000/random_tree_7,22116.092757,61114.191006,0,22116.092757,0.3618814614567787,not_computed,1.0
large_makespan_weights,size_4000/random_tree_8,27145.256567,77671.605083,0,27145.256567,0.34948751912610193,not_computed,1.0
large_makespan_weights,size_4000/random_tree_9,19351.745565,35786.907411,0,19351.745565,0.5407493121088122,not_computed,1.0
large_makespan_weights,size_50000/random_tree_1,50461.484453,105732.069211,0,50461.484453,0.47725808101133954,not_computed,1.0
large_makespan_weights,size_50000/random_tree_2,47054.384082,97254.740246,0,47054.384082,0.48382612470074743,not_computed,1.0
large_makespan_weights,size_50000/random_tree_3,61152.855231,97816.590381,0,61152.855231,0.6251787656143696,not_computed,1.0
large_makespan_weights,size_50000/random_tree_4,71073.352653,161556.19333,0,71073.352653,0.43992960707995404,not_computed,1.0
large_makespan_weights,size_50000/random_tree_5,32221.835824,46896.173533,0,33692.165121,0.6870888048323617,not_computed,0.9563599046923953
20_children,size_10000/random_tree_1,8650.175052,12577.40888,0,8650.175052,0.6877549370089334,not_computed,1.0
20_children,size_10000/random_tree_2,5682.37634,-1.0,0,5945.100599,not_computed,not_computed,0.9558082736153881
20_children,size_10000/random_tree_3,8312.22112,16854.177797,0,8312.22112,0.4931846109680624,not_computed,1.0
20_children,size_15000/random_tree_1,7453.069654,-1.0,0,7560.293318,not_computed,not_computed,0.98581752592261
20_children,size_15000/random_tree_2,8317.271278,-1.0,0,8014.581079,not_computed,not_computed,1.0377674386242242
20_children,size_15000/random_tree_3,5703.558106,-1.0,0,6004.229751,not_computed,not_computed,0.9499233611188974
20_children,size_20000/random_tree_1,13211.355899,-1.0,0,13570.985789,not_computed,not_computed,0.9735000908856968
20_children,size_20000/random_tree_2,14143.838575,-1.0,0,13637.553266,not_computed,not_computed,1.0371243506166334
20_children,size_20000/random_tree_3,14064.175756,23849.789514,0,14064.175756,0.5896981081423895,not_computed,1.0
20_children,size_25000/random_tree_1,7076.84708,-1.0,0,7860.852872,not_computed,not_computed,0.9002645381148662
20_children,size_25000/random_tree_2,13929.384687,-1.0,0,15057.126056,not_computed,not_computed,0.9251024820536311
20_children,size_25000/random_tree_3,8382.557917,-1.0,0,8045.718901,not_computed,not_computed,1.0418656207288244
20_children,size_5000/random_tree_1,5582.392243,15283.413648,0,5582.392243,0.3652582055011327,not_computed,1.0
20_children,size_5000/random_tree_2,6672.672804,10836.997883,0,6672.672804,0.6157307472088208,not_computed,1.0
20_children,size_5000/random_tree_3,3966.257093,5478.606557,0,3883.430171,0.723953627940726,not_computed,1.0213282892579145
all_small,size_10000/random_tree_1,695.752665,1030.200533,0,683.106241,0.6753565375994617,not_computed,1.0185131144190498
all_small,size_10000/random_tree_10,510.496661,510.496661,0,549.277614,1.0,not_computed,0.9293964435987374
all_small,size_10000/random_tree_2,682.32706,875.739424,0,682.32706,0.7791439340293991,not_computed,1.0
all_small,size_10000/random_tree_3,595.473909,1027.944807,0,627.185938,0.5792858769702409,not_computed,0.9494375956496653
all_small,size_10000/random_tree_4,759.604226,1376.407087,0,759.604226,0.5518746838594272,not_computed,1.0
all_small,size_10000/random_tree_5,951.960065,1865.791183,0,951.960065,0.510217903093178,not_computed,1.0
all_small,size_10000/random_tree_6,596.824209,732.224977,0,461.320852,0.8150831066228433,not_computed,1.2937290963817087
all_small,size_10000/random_tree_7,837.352334,1209.645963,0,837.352334,0.6922292634477217,not_computed,1.0
all_small,size_10000/random_tree_8,430.878984,591.349239,0,467.349239,0.7286370820881364,not_computed,0.9219635939109767
all_small,size_10000/random_tree_9,785.274534,1086.188547,0,785.274534,0.7229633714780829,not_computed,1.0
all_small,size_2000/random_tree_1,365.289356,637.279334,0,365.289356,0.5732013208512423,not_computed,1.0
all_small,size_2000/random_tree_10,471.618491,847.17491,0,471.618491,0.5566955364624763,not_computed,1.0
all_small,size_2000/random_tree_2,405.625408,976.184074,0,405.625408,0.41552143576560746,not_computed,1.0
all_small,size_2000/random_tree_3,518.059676,1366.059676,0,518.059676,0.37923648951921773,not_computed,1.0
all_small,size_2000/random_tree_4,216.332816,342.332816,0,216.332816,0.6319371263548395,not_computed,1.0
all_small,size_2000/random_tree_5,468.064994,832.064994,0,468.064994,0.5625341738628654,not_computed,1.0
all_small,size_2000/random_tree_6,411.132619,733.132619,0,411.132619,0.5607888782261371,not_computed,1.0
